image_filename;description;link_to_market;price
cup1.jpg;Чайная пара: чашка на 200 мл с блюдцем;https://link_to_market;305
cup2.jpg;Золотая чайная пара: чашка на 180 мл с блюдцем;https://link_to_market;195
cup3.png;Чайная пара из фарфора Lefard Breeze: чашка 250 мл + блюдце;https://link_to_market;1350
chair1.png;Кресло для отдыха SCANDICA Дженифер;https://link_to_market;15000
chair2.png;Кресло серо-голубое Ракушка;https://link_to_market;55000
chair3.png;Кресло Поэнг. Каркас черно-коричневый с желтой подушкой-сиденье Шифтебу;https://link_to_market;16500
couch1.jpg;Диван Dandy MINI SE велюр Monolit сталь;https://link_to_market;29900
couch2.png;Диван кушетка Амбер-2 серый;https://link_to_market;12500
couch3.png;Угловой диван Аккорд, аккордеон на независимом пружинном блоке, 210*200 см;https://link_to_market;85900


